Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,43.340000,43.680000,43.070000,43.250000,41.877777,15245200
2022-07-12,43.580002,43.830002,42.660000,42.860001,41.500149,17385300
2022-07-13,41.849998,43.049999,41.799999,42.700001,41.345230,16854200
2022-07-14,41.790001,42.470001,41.349998,42.330002,40.986969,17336200
2022-07-15,42.500000,43.130001,42.500000,43.070000,41.703487,19897800
2022-07-18,43.299999,43.320000,42.410000,42.599998,41.248394,16743800
2022-07-19,42.820000,44.090000,42.650002,44.029999,42.633026,22861400
2022-07-20,44.080002,44.320000,43.660000,44.130001,42.729858,15599200
2022-07-21,44.290001,44.689999,44.070000,44.580002,43.165581,15364600
2022-07-22,44.779999,44.919998,44.250000,44.459999,43.049389,14854600
2022-07-25,44.660000,44.660000,44.110001,44.340000,42.933193,12954700
2022-07-26,44.369999,44.540001,43.750000,43.830002,42.439377,19513000
2022-07-27,44.189999,44.790001,43.830002,44.639999,43.223675,22349000
2022-07-28,44.880001,45.869999,44.709999,45.619999,44.172581,17576200
2022-07-29,45.110001,45.490002,44.830002,45.369999,43.930511,23701700
2022-08-01,45.060001,45.430000,44.759998,45.279999,43.843372,14153400
2022-08-02,45.520000,45.700001,44.900002,44.919998,43.494789,15005400
2022-08-03,44.900002,45.820000,44.790001,45.709999,44.259727,14943800
2022-08-04,45.900002,45.930000,45.009998,45.380001,43.940201,15249300
2022-08-05,44.910000,45.070000,44.540001,45.009998,43.581932,19533900
2022-08-08,45.490002,45.520000,44.860001,45.020000,43.591621,15465600
2022-08-09,45.150002,45.180000,44.720001,44.919998,43.494789,12826200
2022-08-10,45.709999,46.060001,45.430000,46.020000,44.559891,18935400
2022-08-11,46.110001,46.430000,45.770000,45.900002,44.443703,15849000
2022-08-12,46.090000,46.610001,45.970001,46.610001,45.131176,16967600
2022-08-15,46.389999,46.619999,46.029999,46.590000,45.111805,15456100
2022-08-16,46.570000,47.009998,46.439999,46.770000,45.286098,21153700
2022-08-17,46.360001,47.099998,46.230000,46.660000,45.179585,27975600
2022-08-18,49.799999,50.000000,49.110001,49.369999,47.803604,39999900
2022-08-19,49.009998,49.459999,48.540001,48.700001,47.154861,23130400
2022-08-22,48.470001,48.500000,47.520000,47.709999,46.196270,20534100
2022-08-23,47.590000,48.040001,47.389999,47.410000,45.905792,13764600
2022-08-24,47.090000,47.410000,46.869999,47.070000,45.576572,14946500
2022-08-25,47.250000,47.430000,46.840000,47.270000,45.770237,23039300
2022-08-26,47.080002,47.270000,45.880001,45.889999,44.434013,20309800
2022-08-29,45.720001,46.000000,45.490002,45.709999,44.259727,13425700
2022-08-30,45.750000,45.869999,44.959999,45.240002,43.804642,14279100
2022-08-31,45.779999,45.830002,44.590000,44.720001,43.301140,23006100
2022-09-01,44.570000,45.340000,44.400002,45.290001,43.853054,16236400
2022-09-02,45.709999,45.919998,44.279999,44.590000,43.175259,14720900
2022-09-06,44.660000,44.790001,43.980000,44.470001,43.059071,14366100
2022-09-07,44.750000,45.169998,44.349998,45.020000,43.591621,18297400
2022-09-08,44.759998,45.470001,44.619999,45.369999,43.930511,14231500
2022-09-09,45.660000,45.889999,45.400002,45.770000,44.317822,15499300
2022-09-12,46.110001,46.730000,45.970001,46.400002,44.927837,17923000
2022-09-13,45.720001,45.910000,44.020000,44.110001,42.710487,23028600
2022-09-14,44.040001,44.270000,43.560001,43.959999,42.565250,27551500
2022-09-15,43.810001,43.869999,43.090000,43.290001,41.916504,18148600
2022-09-16,43.110001,43.580002,42.790001,43.299999,41.926189,32696100
2022-09-19,42.900002,43.439999,42.759998,43.299999,41.926189,13667500
2022-09-20,43.009998,43.020000,42.259998,42.580002,41.229038,16813900
2022-09-21,42.320000,42.869999,41.570000,41.590000,40.270447,21415900
2022-09-22,41.340000,41.549999,41.139999,41.150002,39.844410,16691000
2022-09-23,41.250000,41.250000,40.119999,40.660000,39.369949,19067700
2022-09-26,40.660000,41.189999,40.369999,40.580002,39.292488,22694800
2022-09-27,41.139999,41.459999,40.230000,40.520000,39.234394,15027900
2022-09-28,40.849998,41.570000,40.590000,41.340000,40.028378,23217700
2022-09-29,41.049999,41.099998,40.150002,40.570000,39.282806,19496400
2022-09-30,40.660000,41.040001,39.959999,40.000000,38.730888,27989900
2022-10-03,40.669998,41.529999,40.470001,41.290001,39.979965,22203600
2022-10-04,41.560001,42.040001,41.389999,41.820000,40.869274,22889400
2022-10-05,41.590000,42.250000,41.400002,41.990002,41.035412,14289700
2022-10-06,41.650002,42.090000,41.369999,41.520000,40.576099,18198800
2022-10-07,41.250000,41.250000,40.080002,40.270000,39.354511,19055400
2022-10-10,40.630001,40.810001,39.599998,39.889999,38.983150,16628400
2022-10-11,39.810001,40.110001,39.270000,39.580002,38.680199,19386400
2022-10-12,39.700001,39.860001,39.250000,39.270000,38.377247,17279900
2022-10-13,39.029999,40.799999,38.599998,40.610001,39.686783,26328300
2022-10-14,40.840000,40.959999,39.919998,40.200001,39.286106,19571000
2022-10-17,41.040001,41.529999,40.950001,41.299999,40.361095,27845200
2022-10-18,41.919998,42.220001,41.259998,41.790001,40.839958,18223300
2022-10-19,41.630001,42.240002,41.470001,41.880001,40.927914,19071700
2022-10-20,41.560001,42.619999,41.459999,41.709999,40.761776,16830500
2022-10-21,41.849998,42.970001,41.810001,42.799999,41.826996,25035000
2022-10-24,43.119999,43.730000,42.900002,43.540001,42.550175,18785300
2022-10-25,43.340000,44.400002,43.200001,44.360001,43.351532,19165200
2022-10-26,44.930000,45.230000,44.279999,44.380001,43.371078,20051000
2022-10-27,44.770000,45.090000,44.360001,44.419998,43.410168,18102500
2022-10-28,44.689999,45.709999,44.650002,45.639999,44.602432,17978300
2022-10-31,45.310001,45.639999,45.060001,45.430000,44.397205,17793700
2022-11-01,45.580002,45.790001,45.060001,45.459999,44.426525,12088700
2022-11-02,45.470001,46.209999,44.549999,44.570000,43.556759,15308800
2022-11-03,44.029999,44.150002,43.389999,43.849998,42.853127,17895600
2022-11-04,44.500000,45.080002,43.830002,44.520000,43.507893,19648700
2022-11-07,44.830002,44.980000,44.410000,44.549999,43.537212,21383000
2022-11-08,44.689999,45.349998,44.180000,44.610001,43.595848,17503100
2022-11-09,44.509998,44.720001,43.889999,43.910000,42.911762,19311700
2022-11-10,45.700001,45.810001,44.650002,45.660000,44.621979,27190100
2022-11-11,45.180000,45.320000,43.919998,44.790001,43.771759,25961800
2022-11-14,44.830002,45.439999,44.680000,44.740002,43.722893,21091300
2022-11-15,45.040001,45.240002,44.450001,44.900002,43.879257,19318000
2022-11-16,44.939999,44.980000,44.299999,44.389999,43.380852,24939600
2022-11-17,46.189999,46.849998,45.160000,46.590000,45.530834,38887800
2022-11-18,46.910000,48.040001,46.860001,47.790001,46.703556,30843200
2022-11-21,47.610001,48.290001,47.560001,47.619999,46.537418,17049500
2022-11-22,48.000000,48.419998,47.759998,48.380001,47.280144,16367800
2022-11-23,48.400002,48.990002,48.320000,48.570000,47.465824,12065600
2022-11-25,48.750000,49.049999,48.349998,48.400002,47.299686,8492600
2022-11-28,48.290001,48.470001,47.919998,48.080002,46.986965,14976600
2022-11-29,48.250000,48.410000,47.840000,48.279999,47.182415,13779300
2022-11-30,48.169998,49.830002,47.959999,49.720001,48.589680,29919700
2022-12-01,49.880001,50.459999,49.689999,49.970001,48.833996,18559500
2022-12-02,49.230000,49.840000,48.919998,49.700001,48.570133,12325100
2022-12-05,49.549999,49.639999,49.169998,49.330002,48.208546,13795900
2022-12-06,49.439999,49.439999,48.259998,48.590000,47.485363,15443800
2022-12-07,48.400002,48.549999,48.060001,48.180000,47.084686,15171700
2022-12-08,48.660000,49.200001,48.619999,48.990002,47.876274,16015800
2022-12-09,49.099998,49.169998,48.439999,48.459999,47.358326,14303200
2022-12-12,48.799999,49.320000,48.369999,49.299999,48.179226,15425300
2022-12-13,50.330002,50.709999,49.230000,49.639999,48.511497,22705900
2022-12-14,49.740002,50.060001,48.820000,49.299999,48.179226,19050400
2022-12-15,48.959999,49.049999,47.740002,48.150002,47.055374,19372500
2022-12-16,47.410000,48.000000,47.080002,47.810001,46.723099,66125400
2022-12-19,47.660000,47.959999,47.139999,47.400002,46.322422,17986300
2022-12-20,47.410000,47.560001,46.790001,47.369999,46.293098,15086200
2022-12-21,47.689999,47.959999,47.419998,47.660000,46.576508,15599400
2022-12-22,47.490002,47.490002,46.689999,47.320000,46.244236,23118500
2022-12-23,47.250000,47.490002,47.009998,47.480000,46.400600,9554400
2022-12-27,47.669998,47.709999,47.220001,47.529999,46.449463,12066200
2022-12-28,47.689999,47.770000,46.980000,47.070000,45.999920,9847400
2022-12-29,47.259998,47.740002,47.259998,47.500000,46.420147,11396500
2022-12-30,47.270000,47.669998,46.950001,47.639999,46.556969,13199800
2023-01-03,47.860001,48.049999,47.310001,47.939999,46.850143,17718900
2023-01-04,48.279999,48.480000,47.169998,47.549999,46.840294,18339800
2023-01-05,47.490002,47.490002,46.759998,46.880001,46.180294,17372100
2023-01-06,47.459999,48.590000,47.279999,48.320000,47.598801,20823000
2023-01-09,48.259998,49.209999,48.220001,48.580002,47.854923,13938000
2023-01-10,48.799999,49.209999,48.590000,48.810001,48.081490,12474400
2023-01-11,48.830002,49.230000,48.700001,49.209999,48.475517,12530900
2023-01-12,49.209999,49.430000,48.849998,49.000000,48.268654,14241700
2023-01-13,48.560001,49.020000,48.419998,48.880001,48.150444,12649300
2023-01-17,48.919998,48.939999,47.950001,48.080002,47.362389,19290800
2023-01-18,48.189999,48.270000,46.889999,46.900002,46.199997,19882200
2023-01-19,46.950001,47.049999,46.389999,46.459999,45.766563,19118600
2023-01-20,46.060001,46.830002,45.669998,46.779999,46.081783,21847200
2023-01-23,46.900002,47.869999,46.810001,47.500000,46.791042,15180500
2023-01-24,47.490002,48.020000,47.060001,47.810001,47.096413,14872700
2023-01-25,47.980000,48.080002,47.230000,47.980000,47.263878,14638700
2023-01-26,48.150002,48.470001,47.830002,48.340000,47.618504,12952700
2023-01-27,48.099998,48.730000,47.970001,48.509998,47.785965,13414800
2023-01-30,48.139999,48.500000,48.119999,48.220001,47.500294,19261900
2023-01-31,48.119999,48.689999,48.049999,48.669998,47.943577,16821600
2023-02-01,48.389999,48.900002,47.509998,48.570000,47.845070,19639400
2023-02-02,48.529999,49.560001,48.360001,49.320000,48.583874,17883800
2023-02-03,49.299999,49.299999,48.509998,48.630001,47.904179,17980000
2023-02-06,48.070000,48.279999,47.520000,47.570000,46.859997,13991600
2023-02-07,47.240002,48.150002,46.970001,47.840000,47.125965,16675200
2023-02-08,47.380001,47.540001,46.770000,46.959999,46.259098,18905500
2023-02-09,47.230000,47.410000,46.430000,46.730000,46.032532,18598400
2023-02-10,46.700001,47.320000,46.639999,47.259998,46.554619,17397300
2023-02-13,47.450001,47.990002,47.389999,47.860001,47.145668,19422100
2023-02-14,47.779999,48.000000,47.180000,47.700001,46.988056,19134400
2023-02-15,47.500000,48.520000,47.330002,48.450001,47.726864,27071200
2023-02-16,49.990002,51.740002,49.799999,50.990002,50.228954,48125300
2023-02-17,51.330002,51.439999,50.599998,50.770000,50.012238,25321400
2023-02-21,50.709999,50.759998,49.619999,49.689999,48.948353,25100500
2023-02-22,49.849998,49.849998,48.889999,49.310001,48.574028,20301900
2023-02-23,49.540001,49.680000,48.549999,49.209999,48.475517,14066200
2023-02-24,48.810001,48.900002,48.169998,48.480000,47.756416,17251600
2023-02-27,48.950001,49.340000,48.549999,48.730000,48.002682,14776400
2023-02-28,48.810001,48.930000,48.380001,48.419998,47.697308,16622400
2023-03-01,48.439999,48.590000,48.020000,48.340000,47.618504,13449300
2023-03-02,48.320000,48.630001,48.119999,48.529999,47.805668,18281800
2023-03-03,48.990002,49.360001,48.820000,49.279999,48.544472,15969900
2023-03-06,49.459999,49.810001,49.240002,49.419998,48.682381,13878400
2023-03-07,49.570000,49.759998,48.630001,48.910000,48.179996,17506600
2023-03-08,49.020000,49.270000,48.740002,49.110001,48.377014,12055500
2023-03-09,49.299999,49.689999,48.709999,48.810001,48.081490,12497700
2023-03-10,48.889999,49.169998,48.299999,48.560001,47.835224,16338200
2023-03-13,48.529999,48.880001,48.119999,48.410000,47.687458,20280800
2023-03-14,48.680000,49.259998,48.509998,49.049999,48.317905,17679600
2023-03-15,48.369999,49.110001,48.369999,49.060001,48.327759,17354900
2023-03-16,48.680000,50.290001,48.509998,50.119999,49.371937,21425100
2023-03-17,50.259998,50.549999,49.740002,50.189999,49.440891,47642700
2023-03-20,50.220001,51.040001,50.009998,50.939999,50.179695,22699700
2023-03-21,51.209999,51.330002,50.330002,50.669998,49.913727,23334000
2023-03-22,50.740002,50.750000,49.419998,49.459999,48.721786,21399400
2023-03-23,49.560001,50.250000,49.410000,49.730000,48.987755,17775400
2023-03-24,49.900002,50.549999,49.500000,50.509998,49.756115,19438800
2023-03-27,50.700001,50.950001,50.480000,50.540001,49.785667,15857200
2023-03-28,50.320000,50.599998,50.270000,50.389999,49.637905,11124300
2023-03-29,50.730000,51.270000,50.639999,51.169998,50.406261,18463400
2023-03-30,51.580002,51.680000,51.130001,51.430000,50.662384,11754600
2023-03-31,51.439999,52.349998,51.389999,52.279999,51.499695,20588800
2023-04-03,52.060001,52.560001,51.990002,52.310001,51.529251,16884600
2023-04-04,52.029999,52.119999,51.430000,51.820000,51.430000,13599900
2023-04-05,52.070000,52.290001,51.680000,51.820000,51.430000,13797900
2023-04-06,50.919998,51.560001,50.730000,51.270000,50.884140,14749000
2023-04-10,51.110001,51.400002,50.880001,51.330002,50.943691,10177700
2023-04-11,51.119999,51.299999,50.520000,50.619999,50.239029,15957900
2023-04-12,50.820000,50.950001,50.049999,50.110001,49.732872,16100700
2023-04-13,50.209999,50.830002,50.090000,50.799999,50.417675,15451700
2023-04-14,50.520000,50.849998,50.200001,50.540001,50.159634,12360100
2023-04-17,50.560001,50.680000,50.049999,50.279999,49.901588,12042300
2023-04-18,50.380001,50.689999,50.070000,50.310001,49.931366,15203600
2023-04-19,49.230000,49.270000,47.990002,48.040001,47.678452,30466700
2023-04-20,47.610001,47.650002,46.360001,46.580002,46.229439,39769400
2023-04-21,46.570000,47.119999,46.240002,47.029999,46.676048,20861000
2023-04-24,47.049999,47.450001,47.000000,47.389999,47.033340,17359900
2023-04-25,47.369999,47.430000,46.810001,47.090000,46.735600,20281600
2023-04-26,46.759998,46.849998,46.430000,46.540001,46.189739,22390500
2023-04-27,46.779999,46.799999,45.970001,46.560001,46.209587,22845400
2023-04-28,46.689999,47.259998,46.610001,47.250000,46.894394,19662000
2023-05-01,47.200001,47.520000,47.130001,47.340000,46.983719,13122300
2023-05-02,46.910000,47.080002,46.060001,46.360001,46.011093,20175100
2023-05-03,46.419998,46.549999,45.860001,45.959999,45.614101,20765700
2023-05-04,45.770000,45.930000,45.560001,45.700001,45.356060,17748900
2023-05-05,46.119999,46.360001,45.919998,46.250000,45.901920,14315100
2023-05-08,46.439999,46.520000,46.090000,46.340000,45.991245,12000000
2023-05-09,45.980000,46.520000,45.919998,46.470001,46.120266,15221900
2023-05-10,46.700001,46.930000,46.150002,46.709999,46.358459,15625100
2023-05-11,46.830002,46.849998,46.200001,46.369999,46.021015,12521900
2023-05-12,46.279999,46.810001,46.279999,46.709999,46.358459,14094800
2023-05-15,46.799999,47.259998,46.560001,47.099998,46.745522,13204400
2023-05-16,47.240002,47.330002,46.799999,46.919998,46.566875,16496300
2023-05-17,47.150002,47.759998,47.009998,47.630001,47.271534,29326000
2023-05-18,45.759998,48.250000,45.700001,48.200001,47.837246,41475700
2023-05-19,48.430000,49.340000,48.400002,49.130001,48.760246,28561700
2023-05-22,49.110001,49.230000,48.770000,48.820000,48.452579,18667500
2023-05-23,48.610001,49.349998,48.599998,48.910000,48.541901,17645900
2023-05-24,48.950001,49.000000,48.169998,48.410000,48.045666,15452900
2023-05-25,47.770000,49.230000,47.720001,49.029999,48.660995,21717000
2023-05-26,49.110001,50.090000,49.110001,49.860001,49.484753,19825600
2023-05-30,49.990002,50.490002,49.740002,50.169998,49.792416,19074800
2023-05-31,49.910000,50.029999,49.610001,49.669998,49.296181,51990300
2023-06-01,49.759998,50.090000,49.259998,49.740002,49.365658,17817000
2023-06-02,49.869999,50.250000,49.730000,50.020000,49.643547,19153700
2023-06-05,50.220001,50.580002,50.040001,50.209999,49.832115,13964100
2023-06-06,49.790001,49.910000,49.139999,49.810001,49.435131,16029600
2023-06-07,49.700001,50.139999,49.650002,49.779999,49.405354,15950600
2023-06-08,49.919998,50.000000,49.570000,49.680000,49.306107,13289100
2023-06-09,49.529999,49.970001,49.369999,49.660000,49.286255,12173400
2023-06-12,49.919998,50.509998,49.669998,50.480000,50.100086,15495000
2023-06-13,50.689999,50.939999,50.450001,50.799999,50.417675,24035500
2023-06-14,50.799999,51.220001,50.630001,50.959999,50.576473,16630700
2023-06-15,50.910000,52.070000,50.830002,51.930000,51.539173,22496900
2023-06-16,52.200001,52.410000,51.930000,52.070000,51.678120,37133300
2023-06-20,51.939999,52.080002,51.470001,51.549999,51.162033,20138000
2023-06-21,51.380001,51.400002,50.820000,50.849998,50.467300,16939600
2023-06-22,50.650002,51.139999,50.430000,51.119999,50.735268,14993800
2023-06-23,50.639999,50.720001,50.090000,50.330002,49.951218,16540300
2023-06-26,50.310001,50.799999,50.180000,50.209999,49.832115,13032100
2023-06-27,50.310001,51.040001,50.250000,50.860001,50.477226,12981000
2023-06-28,50.779999,51.020000,50.439999,50.869999,50.487148,11387600
2023-06-29,50.860001,51.270000,50.820000,51.209999,50.824589,14246000
2023-06-30,51.880001,52.259998,51.520000,51.740002,51.350605,18186300
2023-07-03,51.360001,51.830002,51.330002,51.820000,51.430000,7338300
2023-07-05,50.970001,51.570000,50.930000,51.509998,51.509998,14950500
2023-07-06,51.070000,51.189999,50.650002,51.110001,51.110001,13931100
2023-07-07,51.000000,51.650002,50.740002,50.990002,50.990002,15579600
